"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 18:26:40 EDT 2019","Fri Jul 05 18:26:41 EDT 2019","811","tests.alter_password","test_alter_password_with_same_password","TestAlterPasswordWithSamePassword","","","test_alter_password_with_same_password",""
"passed","Fri Jul 05 18:26:51 EDT 2019","Fri Jul 05 18:26:52 EDT 2019","806","tests.users_list","test_users_list_get_regular_user","TestUsersListGetRegularUser","","","test_users_list_get_regular_user",""
"passed","Fri Jul 05 18:26:51 EDT 2019","Fri Jul 05 18:26:51 EDT 2019","804","tests.users_list","test_users_list_get_all","TestUsersListGetAll","","","test_users_list_get_all",""
"passed","Fri Jul 05 18:26:48 EDT 2019","Fri Jul 05 18:26:48 EDT 2019","812","tests.login","test_login_with_wrong_password","TestLoginWithWrongPassword","","","test_login_with_wrong_password",""
"passed","Fri Jul 05 18:26:46 EDT 2019","Fri Jul 05 18:26:46 EDT 2019","535","tests.login","test_login_with_long_password","TestLoginWithLongPassword","","","test_login_with_long_password",""
"passed","Fri Jul 05 18:26:45 EDT 2019","Fri Jul 05 18:26:46 EDT 2019","580","tests.login","test_login_with_invalid_username","TestLoginWithInvalidUsername","","","test_login_with_invalid_username",""
"passed","Fri Jul 05 18:26:37 EDT 2019","Fri Jul 05 18:26:38 EDT 2019","1215","tests.alter_password","test_alter_password_success","TestAlterPasswordSuccess","","","test_alter_password_success",""
"passed","Fri Jul 05 18:26:44 EDT 2019","Fri Jul 05 18:26:45 EDT 2019","562","tests.check_user_login_status","test_user_status_not_logged_in","TestUserStatusNotLoggedIn","","","test_user_status_not_logged_in",""
"passed","Fri Jul 05 18:26:42 EDT 2019","Fri Jul 05 18:26:42 EDT 2019","580","tests.alter_password","test_alter_password_with_wrong_password","TestAlterPasswordWithWrongPassword","","","test_alter_password_with_wrong_password",""
"passed","Fri Jul 05 18:26:41 EDT 2019","Fri Jul 05 18:26:42 EDT 2019","803","tests.alter_password","test_alter_password_with_short_password","TestAlterPasswordWithShortPassword","","","test_alter_password_with_short_password",""
"passed","Fri Jul 05 18:26:45 EDT 2019","Fri Jul 05 18:26:45 EDT 2019","593","tests.login","test_login_with_admin_success","TestLoginWithAdminSuccess","","","test_login_with_admin_success",""
"skipped","Fri Jul 05 18:26:50 EDT 2019","Fri Jul 05 18:26:50 EDT 2019","0","tests.register","test_register_new_user_success","TestRegisterNewUserSuccess","","","test_register_new_user_success",""
"passed","Fri Jul 05 18:26:49 EDT 2019","Fri Jul 05 18:26:50 EDT 2019","701","tests.logout","test_logout_with_admin_success","TestLogOutWithAdminSuccess","","","test_log_out_with_admin_success",""
"passed","Fri Jul 05 18:26:42 EDT 2019","Fri Jul 05 18:26:43 EDT 2019","572","tests.alter_password","test_alter_password_with_wrong_username","TestAlterPasswordWithWrongUsername","","","test_alter_password_with_wrong_username",""
"passed","Fri Jul 05 18:26:50 EDT 2019","Fri Jul 05 18:26:51 EDT 2019","710","tests.users_list","test_users_list_get_admin","TestUsersListGetAdmin","","","test_users_list_get_admin",""
"passed","Fri Jul 05 18:26:46 EDT 2019","Fri Jul 05 18:26:47 EDT 2019","586","tests.login","test_login_with_regular_user_success","TestLoginwithRegularUserSuccess","","","test_login_with_regular_user_success",""
"passed","Fri Jul 05 18:26:44 EDT 2019","Fri Jul 05 18:26:44 EDT 2019","576","tests.check_user_login_status","test_admin_status_logged_in","TestAdminStatusLoggedIn","","","test_admin_status_logged_in",""
"passed","Fri Jul 05 18:26:39 EDT 2019","Fri Jul 05 18:26:40 EDT 2019","817","tests.alter_password","test_alter_password_with_long_password","TestAlterPasswordWithLongPassword","","","test_alter_password_with_wrong_password",""
"passed","Fri Jul 05 18:26:47 EDT 2019","Fri Jul 05 18:26:48 EDT 2019","654","tests.login","test_login_with_short_password","TestLoginWithShortPassword","","","test_login_with_short_password",""
